flight_status,flight,datetime_estimated,airport_of_departure,comments,airport_of_arrival,terminal,airline,datetime_actual,datetime_scheduled
[],[u'\u042e\u0422366'],[u' - '],[u'\u0423\u0424\u0410'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'UT708'],[u' - '],[u'\u0412\u0418\u041b\u042c\u041d\u042e\u0421'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422374'],[u' - '],[u'\u041c\u0418\u041d.\u0412\u041e\u0414\u042b'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422446'],[u' - '],[u'\u041a\u041e\u0413\u0410\u041b\u042b\u041c'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422464'],[u' - '],[u'\u0422\u042e\u041c\u0415\u041d\u042c\n(\u0420\u041e\u0429\u0418\u041d\u041e)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422326'],[u' - '],[u'\u041a\u0410\u0417\u0410\u041d\u042c\n()\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422396'],[u' - '],[u'\u0412\u041b\u0410\u0414\u0418\u041a\u0410\u0412\u041a\u0410\u0417'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0420296'],[u' - '],[u'\u0421\u0423\u0420\u0413\u0423\u0422'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420-\u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422456'],[u'\xa013.03'],[u'\u041d\u041e\u042f\u0411\u0420\u042c\u0421\u041a'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'UT764'],[u'\xa013.03'],[u'\u041d\u0410\u0425\u0418\u0427\u0415\u0412\u0410\u041d\u042c'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
