flight_status,flight,datetime_estimated,airport_of_departure,comments,airport_of_arrival,terminal,airline,datetime_actual,datetime_scheduled
[],[u'\u042e\u041a4178'],[u'\xa013.03'],[u'\u0412\u041b\u0410\u0414\u0418\u041a\u0410\u0412\u041a\u0410\u0417'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0410\u0412\u0418\u0410\u0426\u0418\u041e\u041d\u041d\u042b\u0415 \u041b\u0418\u041d\u0418\u0418 \u041a\u0423\u0411\u0410\u041d\u0418'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042e\u041a133'],[u'\xa013.03'],[u'\u041a\u0420\u0410\u0421\u041d\u041e\u0414\u0410\u0420\n(\u041f\u0410\u0428\u041a\u041e\u0412\u0421\u041a\u0410\u042f)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0410\u0412\u0418\u0410\u0426\u0418\u041e\u041d\u041d\u042b\u0415 \u041b\u0418\u041d\u0418\u0418 \u041a\u0423\u0411\u0410\u041d\u0418'],[u'\xa013.03'],[u'\xa013.03']
[],[u'4U994'],[u'\xa013.03'],[u'\u041a\u0415\u041b\u042c\u041d\n(\u0411\u041e\u041d\u041d)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u0414\u0416\u0415\u0420\u041c\u0410\u041d\u0412\u0418\u041d\u0413\u0417'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042e\u0422198'],[u'\xa013.03'],[u'\u0412\u041e\u0420\u041e\u041d\u0415\u0416\n(\u0427\u0415\u0420\u0422\u041e\u0412\u0418\u0426\u041a\u041e\u0415)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u041a\u0421\u041c9610'],[u'\xa013.03'],[u'\u041d\u0410\u0417\u0420\u0410\u041d\u042c'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u041a\u041e\u0421\u041c\u041e\u0421'],[u'\xa013.03'],[u'\xa013.03']
[],[u'H59102'],[u'\xa013.03'],[u'\u0410\u041d\u0422\u0410\u041b\u042c\u042f'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u0410\u0419 \u0424\u041b\u0410\u0419'],[u' - '],[u'\xa013.03']
[],[u'U8512'],[u'\xa013.03'],[u'\u0415\u0420\u0415\u0412\u0410\u041d\n(\u0417\u0412\u0410\u0420\u0422\u041d\u041e\u0426)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u0410\u0420\u041c\u0410\u0412\u0418\u0410'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422368'],[u' - '],[u'\u0420\u041e\u0421\u0422\u041e\u0412-\u041d\u0410-\u0414\u041e\u041d\u0423'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042e\u0420398'],[u'\xa013.03'],[u'\u0413\u0415\u041b\u0415\u041d\u0414\u0416\u0418\u041a'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420-\u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042d\u0425110'],[u'\xa013.03'],[u'\u0421-\u041f\u0415\u0422\u0415\u0420\u0411\u0423\u0420\u0413\n(\u041f\u0423\u041b\u041a\u041e\u0412\u041e)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042e\u0422378'],[u' - '],[u'\u0410\u0421\u0422\u0420\u0410\u0425\u0410\u041d\u042c'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042d\u0425146'],[u'\xa013.03'],[u'\u041a\u0410\u041b\u0418\u041d\u0418\u041d\u0413\u0420\u0410\u0414'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u'\xa013.03'],[u'\xa013.03']
[],[u'UT772'],[u'\xa013.03'],[u'\u0414\u041e\u041d\u0415\u0426\u041a'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
